Environment,Agent,Total_Reward,Avg_Reward_Per_Episode,Successful_Actions,Failed_Actions,Deploy_Actions,Remove_Actions,Nothing_Actions,Reward_Variance,Reward_StdDev,Avg_Episode_Length
small_network,PPO_BestProduction,309.14046093269235,30.914046093269235,1000,0,204,192,604,1396.8572252260833,37.37455317761115,50
small_network,StaticBaseline,163.81045830167488,16.38104583016749,1000,0,104,96,800,96.38008159811295,9.817335768838355,50
small_network,RandomBaseline,359.57010387954807,35.95701038795481,1000,0,244,246,510,6774.2478868670705,82.30581927705398,50
small_network,RuleBaseline,79.15755440447937,7.915755440447937,1000,0,54,44,902,100.0735122851027,10.003674938996303,50
small_network,InactiveBaseline,-1.6060173613062587,-0.1606017361306259,1000,0,0,0,1000,154.17675366794535,12.416793211934607,50
medium_network,PPO_BestProduction,368.4414826523596,36.84414826523596,1000,0,188,169,643,367.7258012026829,19.176177961280054,50
medium_network,StaticBaseline,203.27495259797917,20.327495259797914,1000,0,104,96,800,0.2916699902629664,0.5400648019108136,50
medium_network,RandomBaseline,484.39964433242596,48.4399644332426,1000,0,253,232,515,5102.780324319921,71.43374779696164,50
medium_network,RuleBaseline,113.11270013197513,11.311270013197513,1000,0,54,44,902,1033.665029417225,32.15066141492621,50
medium_network,InactiveBaseline,-1.5733465940929365,-0.15733465940929367,1000,0,0,0,1000,40.13445713430053,6.335176172317588,50
