,episode,step,red_action_success,red_action_type,red_action_src,red_action_dest,blue_action,blue_action_id,blue_action_target,reward
254,2,54,True,portscan,server_or_host37,host27,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
255,2,55,True,portscan,server_or_host37,server13,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
256,2,56,True,portscan,server_or_host37,host24,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
257,2,57,True,portscan,server_or_host37,server9,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
258,2,58,True,lateral-movement,server_or_host37,server_or_host2,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
259,2,59,True,discovery,server_or_host2,server_or_host2,deploy_decoy,decoy_limit_exceeded,user_subnet1,-5.0
260,2,60,True,portscan,server_or_host2,server_or_host39,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-2.0
261,2,61,True,portscan,server_or_host2,dmz40,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
262,2,62,True,portscan,server_or_host2,server_or_host51,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
263,2,63,True,portscan,server_or_host2,dmz48,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
264,2,64,True,portscan,server_or_host2,host20,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
265,2,65,True,lateral-movement,server_or_host2,dmz25,deploy_decoy,decoy_limit_exceeded,server_subnet2,-10.0
266,2,66,True,discovery,dmz25,dmz25,deploy_decoy,decoy_limit_exceeded,server_subnet2,-5.0
267,2,67,True,portscan,dmz25,server_or_host62,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
268,2,68,True,portscan,dmz25,server16,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
269,2,69,True,portscan,dmz25,server_or_host13,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
270,2,70,True,lateral-movement,dmz25,server_or_host56,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
271,2,71,True,discovery,server_or_host56,server_or_host56,deploy_decoy,decoy_limit_exceeded,server_subnet1,-5.0
272,2,72,True,lateral-movement,server_or_host56,dmz8,deploy_decoy,decoy_limit_exceeded,user_subnet1,-10.0
273,2,73,True,discovery,dmz8,dmz8,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
274,2,74,True,lateral-movement,dmz8,server_or_host39,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-10.0
275,2,75,True,discovery,server_or_host39,server_or_host39,nothing,335012790b0b4fa495ea8c2cf3b25967,,-5.0
276,2,76,True,portscan,server_or_host39,server_or_host54,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
277,2,77,True,lateral-movement,server_or_host39,host20,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-10.0
278,2,78,True,discovery,host20,host20,nothing,1c53ffe1112e4e4d87e4885c065bce27,,-5.0
279,2,79,True,lateral-movement,host20,server5,deploy_decoy,decoy_limit_exceeded,user_subnet1,-10.0
280,2,80,True,discovery,server5,server5,deploy_decoy,decoy_limit_exceeded,server_subnet2,-5.0
281,2,81,True,lateral-movement,server5,host27,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
282,2,82,True,discovery,host27,host27,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
283,2,83,True,lateral-movement,host27,server_or_host32,deploy_decoy,decoy_limit_exceeded,user_subnet2,-10.0
284,2,84,True,discovery,server_or_host32,server_or_host32,deploy_decoy,decoy_limit_exceeded,subnet4,-5.0
285,2,85,True,portscan,server_or_host32,dmz7,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
286,2,86,True,lateral-movement,server_or_host32,dmz23,nothing,c450b2ce999a4a0b8e4c28a2f32fe977,,-10.0
287,2,87,True,discovery,dmz23,dmz23,deploy_decoy,decoy_limit_exceeded,subnet4,-5.0
288,2,88,True,lateral-movement,dmz23,dmz6,deploy_decoy,decoy_limit_exceeded,server_subnet2,-10.0
289,2,89,True,discovery,dmz6,dmz6,deploy_decoy,decoy_limit_exceeded,server_subnet2,-5.0
290,2,90,True,portscan,dmz6,host34,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
291,2,91,True,portscan,dmz6,server0,deploy_decoy,decoy_limit_exceeded,subnet4,-2.0
292,2,92,True,portscan,dmz6,dmz29,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
293,2,93,True,lateral-movement,dmz6,server_or_host57,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
294,2,94,True,discovery,server_or_host57,server_or_host57,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
295,2,95,True,portscan,server_or_host57,server_or_host3,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
296,2,96,True,lateral-movement,server_or_host57,server_or_host29,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
297,2,97,True,discovery,server_or_host29,server_or_host29,deploy_decoy,decoy_limit_exceeded,subnet4,-5.0
298,2,98,True,portscan,server_or_host29,dmz10,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
299,2,99,True,lateral-movement,server_or_host29,dmz10,deploy_decoy,decoy_limit_exceeded,server_subnet1,-10.0
