,episode,step,red_action_success,red_action_type,red_action_src,red_action_dest,blue_action,blue_action_id,blue_action_target,reward
143,1,43,True,discovery,host5,host5,deploy_decoy,decoy_limit_exceeded,subnet4,-5.0
144,1,44,True,portscan,host5,server_or_host11,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
145,1,45,True,portscan,host5,server_or_host1,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
146,1,46,True,lateral-movement,host5,server_or_host23,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-10.0
147,1,47,True,discovery,server_or_host23,server_or_host23,deploy_decoy,decoy_limit_exceeded,user_subnet2,-5.0
148,1,48,True,portscan,server_or_host23,server_or_host13,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
149,1,49,True,portscan,server_or_host23,host1,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
150,1,50,True,lateral-movement,server_or_host23,server_or_host11,deploy_decoy,decoy_limit_exceeded,user_subnet2,-10.0
151,1,51,True,discovery,server_or_host11,server_or_host11,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-5.0
152,1,52,True,lateral-movement,server_or_host11,server_or_host2,nothing,4b50afa904bd403f9c8baf2224ce02fc,,-10.0
153,1,53,True,discovery,server_or_host2,server_or_host2,deploy_decoy,decoy_limit_exceeded,subnet4,-5.0
154,1,54,True,portscan,server_or_host2,server_or_host26,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
155,1,55,True,lateral-movement,server_or_host2,server_or_host1,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
156,1,56,True,discovery,server_or_host1,server_or_host1,nothing,05f98ef995d9447d90c0a1a03ea39c40,,-5.0
157,1,57,True,portscan,server_or_host1,host7,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
158,1,58,True,lateral-movement,server_or_host1,host9,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
159,1,59,True,discovery,host9,host9,nothing,f8f3c6d49e314e889439e76acbe66118,,-5.0
160,1,60,True,lateral-movement,host9,host14,deploy_decoy,decoy_limit_exceeded,server_subnet2,-10.0
161,1,61,True,discovery,host14,host14,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-5.0
162,1,62,True,lateral-movement,host14,server_or_host5,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
